name,city,country,gender
Gregory Turner,Yanggang,China,M
Barbara Fox,Gary,United States,F
Julia Jones,San Esteban,Philippines,F
George Reed,Itapetininga,Brazil,M
Cynthia Peterson,Liudu,China,F
Albert Gutierrez,São João de Meriti,Brazil,M
Fred Mcdonald,Jinquan,China,M
Brenda Ross,Santa Clara,Philippines,F
Christina Rose,Xukou,China,F
Judy Bowman,Beiyang,China,F
Emily Bradley,Kupchino,Russia,F
Janice Sanders,Nariño,Colombia,F
Justin Howell,Ta Phraya,Thailand,M
Patricia Jenkins,Kolodeznyy,Russia,F
Michelle Watkins,Cartago,Colombia,F
Lawrence Phillips,Tubel,Indonesia,M
Terry Welch,Araçatuba,Brazil,M
Jesse Harper,Sui’an,China,M
Andrew Hart,Dapchi,Nigeria,M
Jose Ryan,Sut-Khol’,Russia,M
Ashley Bryant,Fengcheng,China,F
Phillip Bell,Si Wilai,Thailand,M
Barbara Gonzales,Mapaniqui,Philippines,F
Larry White,Qümong,China,M
Lisa Smith,Jianshe,China,F
Randy George,Linjiang,China,M
Walter Johnson,Wolomoni,Indonesia,M
Sarah Phillips,Canindé,Brazil,F
Mildred Ray,Ashley,United Kingdom,F
Christina Allen,Vis,Croatia,F
Kenneth Foster,Vigan,Philippines,M
Rebecca Bowman,Libacao,Philippines,F
Jack Gonzalez,Sikur,Indonesia,M
Ann Porter,Tapas,Philippines,F
Joyce Robertson,Salfīt,Palestinian Territory,F
Marie Hall,Orlovka,Russia,F
Robert Reynolds,Nginjen,Indonesia,M
Arthur Burton,Madona,Latvia,M
Richard Bailey,Chaloem Phra Kiat,Thailand,M
Jimmy Johnson,Fukushima-shi,Japan,M
William Jones,Guadalupe,Mexico,M
Sandra Watkins,Pančevo,Serbia,F
Brenda Hicks,Lukovo,Macedonia,F
Philip Day,Herval,Brazil,M
Gregory Martin,Krajan Siki,Indonesia,M
Wanda Collins,Ciego de Ávila,Cuba,F
Brenda Price,Zaoshi,China,F
Gregory West,Nishiwaki,Japan,M
Juan Reid,Korolëv Stan,Belarus,M
Carlos Mccoy,Jiucaigou,China,M
Carol Brown,Batibati,Indonesia,F
Chris Berry,Ondo,Nigeria,M
Randy Banks,Baras,Philippines,M
Shawn Daniels,Ayna,Peru,M
Nancy Hall,Dīla,Ethiopia,F
Wayne Torres,Stockholm,Sweden,M
Martha Burton,Shchukino,Russia,F
Douglas Frazier,Dongyong,China,M
Scott Franklin,Sarandi,Brazil,M
Donna Rice,Lai Cách,Vietnam,F
Martha Garrett,Neglasari,Indonesia,F
Harry Robertson,Hezuo,China,M
Dennis Wood,Jianshan,China,M
Daniel Romero,Babakansari,Indonesia,M
Anna Shaw,Hualmay,Peru,F
Douglas Perkins,Esperanza,Philippines,M
Janet Peterson,Rosario de Mora,El Salvador,F
Carlos Hernandez,Mionica,Bosnia and Herzegovina,M
Johnny Henry,Mardakyany,Azerbaijan,M
Doris Warren,Praia,Cape Verde,F
Ann Coleman,New Haven,United States,F
Marilyn Berry,Tempursari Wetan,Indonesia,F
Shawn Stevens,Candi Prambanan,Indonesia,M
Kelly Barnes,Stráž,Czech Republic,F
Antonio Hanson,Kamru,China,M
Gary Cole,Sikka,Indonesia,M
Stephen Willis,Maguling,Philippines,M
Jeffrey Johnston,Lincoln,United States,M
Kathleen White,Zhongfeng,China,F
Marie Fox,Vrakháti,Greece,F
Debra Thomas,Al Munīrah,Yemen,F
Larry Lawson,Vostochnyy,Russia,M
Donald Arnold,Uglovoye,Russia,M
Jennifer Andrews,Legionowo,Poland,F
Elizabeth Morrison,Guaçuí,Brazil,F
Virginia Bell,Qingguang,China,F
Janet Woods,Hongping,China,F
Sharon Jackson,Cerro Punta,Panama,F
Cheryl Gardner,Lezhë,Albania,F
Joseph Fox,Novotroitsk,Russia,M
Joseph Mitchell,Xuefeng,China,M
Tina Peterson,Koryukivka,Ukraine,F
Kimberly Meyer,Ocaña,Colombia,F
Kevin Gilbert,Al Matlīn,Tunisia,M
Janet Jones,Jawornik Polski,Poland,F
Amy Kennedy,Krasnorechenskiy,Russia,F
Theresa Cox,Lelekovice,Czech Republic,F
Mildred Hansen,Pakkat,Indonesia,F
Patricia Garcia,Camplong,Indonesia,F
Lori Hart,Menzel Bourguiba,Tunisia,F
Pamela Dunn,Pak Phli,Thailand,F
George Reid,Banjaranyar,Indonesia,M
James Kennedy,Rokietnica,Poland,M
Christopher Watkins,Melaka,Malaysia,M
Louise Evans,Borås,Sweden,F
Nicholas Austin,Cheongpyeong,South Korea,M
Raymond Stewart,Caba,Philippines,M
Mary Vasquez,Hongyuan,China,F
Theresa Fisher,Feng’an,China,F
Deborah Payne,Indianapolis,United States,F
Jessica Thompson,Tacurong,Philippines,F
Earl Woods,Krajan Puru,Indonesia,M
Gerald Dean,Landi Kotal,Pakistan,M
Harry Harrison,Milotice,Czech Republic,M
Patricia Taylor,Buluh Kasap,Indonesia,F
Martha Arnold,Olho Marinho,Portugal,F
Jane Kim,Le Grand-Quevilly,France,F
Tammy Daniels,Vostryakovo,Russia,F
Rachel Dean,Tomiya,Japan,F
Angela Gomez,Zambujal,Portugal,F
Rose Morrison,Veinticinco de Mayo,Argentina,F
Eugene Reynolds,Nanyang,China,M
James Holmes,Colosó,Colombia,M
Sean Palmer,Capissayan Sur,Philippines,M
Scott Jones,Changling,China,M
James Dixon,Parnamirim,Brazil,M
Walter Oliver,Tylicz,Poland,M
Carolyn Harris,Tarczyn,Poland,F
Brenda Griffin,Jibu,China,F
Peter Torres,Banjar Penyalin,Indonesia,M
Janet Welch,Sena Madureira,Brazil,F
Debra Wright,Can-asujan,Philippines,F
Randy Thomas,Voždovac,Serbia,M
Anthony Cook,Shadrinsk,Russia,M
Ann Matthews,Gryfów Śląski,Poland,F
Jonathan Warren,Kafr Zaytā,Syria,M
Raymond Grant,Ban Talat Nua,Thailand,M
Ronald Phillips,Benito Juarez,Mexico,M
Jeremy Day,Dangjiaxian,China,M
George Sanders,El Mirador,Mexico,M
Catherine Diaz,Veselí nad Lužnicí,Czech Republic,F
Arthur Day,Shimen,China,M
Larry Harper,Conceição da Abóboda,Portugal,M
Nicholas Daniels,Hake,China,M
Wanda Owens,Gesikan,Indonesia,F
William Sanchez,Nakano,Japan,M
Robert Payne,Rio Largo,Brazil,M
Jean Fox,Petukhovo,Russia,F
Kenneth Hicks,Dongkengkou,China,M
Karen Ortiz,Richmond,United States,F
Ruby Johnston,Shuangqiao,China,F
Walter Fox,Uyskoye,Russia,M
Christopher Carroll,Kromasan,Indonesia,M
Andrea Jordan,Brades,Montserrat,F
Shawn Walker,Payapa,Philippines,M
Andrea Hicks,Bantay,Philippines,F
Joshua Murray,Milano,Italy,M
Walter Nelson,Suru,Indonesia,M
Jonathan Mcdonald,Gubin,Poland,M
Marilyn Flores,Catalina,Canada,F
Susan Rodriguez,Hendījān,Iran,F
Diane Daniels,Mbandaka,Democratic Republic of the Congo,F
Michelle Pierce,Xiaochuan,China,F
Jeremy Bradley,Sulak,Russia,M
Bruce Bell,Mehona,Indonesia,M
Anna White,Bystra,Poland,F
Bruce Baker,Adzopé,Ivory Coast,M
Katherine Cunningham,Xamtay,Laos,F
Juan Warren,Laranjeiras do Sul,Brazil,M
Mary Nguyen,Kut Chum,Thailand,F
Benjamin Stone,Amirdzhan,Azerbaijan,M
Mary Campbell,Tambov,Russia,F
Donald Kelly,Phatthaya,Thailand,M
Ronald Ray,Citeguh,Indonesia,M
Lois Montgomery,Xiakouyi,China,F
Antonio Perry,Rio do Sul,Brazil,M
Catherine Jones,Évry,France,F
Louis Robertson,Jiutai,China,M
Angela Woods,Ciherang,Indonesia,F
Sara Bailey,Dolní Bojanovice,Czech Republic,F
Stephanie Meyer,Dhidhdhoo,Maldives,F
Martin Jenkins,Kerċem,Malta,M
Frank Matthews,Ufa,Russia,M
David Ortiz,Łopuszna,Poland,M
Annie Franklin,Atsugi,Japan,F
Andrea Davis,Rouen,France,F
Robin Ramirez,Bulualto,Philippines,F
Theresa Rodriguez,München,Germany,F
Joseph Mills,Krouna,Czech Republic,M
Henry Fernandez,Nelson,Canada,M
Rose Gibson,Konstantinovskoye,Russia,F
Donna Hamilton,Santiago de Cao,Peru,F
John Jenkins,Xincun,China,M
Evelyn Rice,Karanggintung,Indonesia,F
Alice Hart,Sietesz,Poland,F
Howard Sims,Krajan Battal,Indonesia,M
Henry Long,Quinipot,Philippines,M
Kathleen Stone,Kovilj,Serbia,F
Jack Hall,Bumbuna,Sierra Leone,M
Benjamin Bell,Tankhoy,Russia,M
Steve Tucker,Lianhua,China,M
Susan Stevens,Mobai,Sierra Leone,F
Gloria Nichols,Mrozy,Poland,F
Tammy Elliott,Orimattila,Finland,F
Julie Nguyen,Pasireurih,Indonesia,F
Gregory Green,Xuanhua,China,M
Robert Austin,Biankouma,Ivory Coast,M
Judy Ray,Paris 02,France,F
Anthony Cunningham,Lidun,China,M
Denise Griffin,Kousa,Egypt,F
Eugene Gutierrez,Kol’chugino,Russia,M
Louis Hanson,Kedungringin,Indonesia,M
Aaron Mitchell,Pangtangis Dajah,Indonesia,M
Judith Perry,Roriz,Portugal,F
Walter Holmes,Weiting,China,M
Arthur Gordon,Almodôvar,Portugal,M
Patricia Carr,San Juan de la Maguana,Dominican Republic,F
Judy Perkins,Martinlongo,Portugal,F
Shawn Hanson,Fushë-Muhurr,Albania,M
Larry Wallace,Czyżowice,Poland,M
Ralph Ferguson,Pácora,Colombia,M
Frances Fowler,Flers,France,F
Larry Fisher,Hatsukaichi,Japan,M
Ann Murray,Obiliq,Kosovo,F
Carol Snyder,São João da Boa Vista,Brazil,F
Annie Jackson,Malasugui,Philippines,F
Anne Wilson,Jinggan,China,F
Douglas Thompson,Jombang,Indonesia,M
James Brown,Jiabei,China,M
Amy Dixon,Solnice,Czech Republic,F
Terry Stewart,Novi Beograd,Serbia,M
Joe Reed,Starokucherganovka,Russia,M
Kelly Robertson,Qulai,China,F
Katherine Evans,Dū Qal‘ah,Afghanistan,F
Heather Moore,Río Grande,Dominican Republic,F
Daniel Lewis,Betim,Brazil,M
Pamela Nichols,Balbalan,Philippines,F
Alice Moore,Buy,Russia,F
Martin Stevens,Las Ánimas,Honduras,M
Thomas Stanley,Beloyarskiy,Russia,M
Randy Griffin,Dębno,Poland,M
Sandra Rogers,Itamaraju,Brazil,F
Roger Bishop,Napierville,Canada,M
Kenneth Murray,Itapemirim,Brazil,M
Diane Kelley,Xianghuaqiao,China,F
Diane Evans,Aurora,Philippines,F
Julia Banks,La Dorada,Colombia,F
Judy Hill,Khairpur,Pakistan,F
Annie Johnston,Manakara,Madagascar,F
Kelly Vasquez,Aoluguya Ewenke Minzu,China,F
Lois Cooper,Sekampung,Indonesia,F
Edward Austin,Jinkou,China,M
Edward Ruiz,Garagoa,Colombia,M
Jack Collins,Huanren,China,M
Sharon Porter,Maymana,Afghanistan,F
Ann Lawson,Tambakrejo,Indonesia,F
Steve Burns,Huitang,China,M
Irene Alexander,Cuenca,Ecuador,F
Tina Carr,Macieira de Rates,Portugal,F
Terry Harrison,Káto Dhiminió,Greece,M
Helen Frazier,Khūgyāṉī,Afghanistan,F
Andrew Lopez,Salcedo,Philippines,M
William Garcia,Road Town,British Virgin Islands,M
Jack Hall,Tuanai,Indonesia,M
Eugene Russell,Orikhiv,Ukraine,M
Russell Russell,Ureshino,Japan,M
Antonio Bryant,Buyant,Mongolia,M
Ryan Edwards,Inhambane,Mozambique,M
Roy Adams,Dabachang,China,M
Jose Nelson,Maputsoe,Lesotho,M
Gerald George,Haolaishan,China,M
Margaret Henry,Tianyuan,China,F
Ronald Hunter,São Marcos,Brazil,M
Mary Morrison,Ogoja,Nigeria,F
Steve Greene,Lubochnia,Poland,M
Earl Gomez,Loyola,Philippines,M
Sharon Gutierrez,Flushing,United States,F
Jeremy Murphy,Las Vegas,United States,M
Beverly Webb,Szeged,Hungary,F
Daniel Carpenter,Shijing,China,M
Ernest Gardner,Baculin,Philippines,M
Denise King,Kraaifontein,South Africa,F
Clarence Gilbert,Cametá,Brazil,M
Laura Stewart,Viterbo,Colombia,F
Roy Reynolds,Buga,Colombia,M
Carolyn Turner,Rače,Slovenia,F
Gary Weaver,Pakel,Indonesia,M
Pamela Porter,Uíge,Angola,F
Amy Morris,Tabwakea Village,Kiribati,F
Robin Mason,Zykovo,Russia,F
Eric Payne,Balakhninskiy,Russia,M
Justin Perkins,Matinha,Brazil,M
Sharon Snyder,Oborniki Śląskie,Poland,F
Heather Hansen,Dębica,Poland,F
Rebecca Sanchez,Berlin,Germany,F
Philip Alexander,Cimadang,Indonesia,M
Joe Peterson,Antwerpen,Belgium,M
Patricia Griffin,Geshan,China,F
Phillip Diaz,Levallois-Perret,France,M
Janet Hill,Tanlin,China,F
Robin Garrett,Jiasi,China,F
Howard Thompson,Mali Iđoš,Serbia,M
Teresa Robertson,Hainan,China,F
Christine Carter,Akim Oda,Ghana,F
Steve Elliott,Wewoloe,Indonesia,M
Raymond Allen,Baturinggit Kaja,Indonesia,M
Billy Turner,Guocun,China,M
Roger Mills,Ḩadīdah,Syria,M
Clarence Long,At Samat,Thailand,M
Paul Price,San Vicente,Philippines,M
Annie Montgomery,Xiaohenglong,China,F
Eugene Spencer,Třešť,Czech Republic,M
Victor Nguyen,Lubbock,United States,M
Bobby Rivera,Limon,Philippines,M
Donna Wallace,Chaumont,France,F
Stephen Nguyen,Oporapa,Colombia,M
Julia Henry,Foz do Iguaçu,Brazil,F
Lawrence Jordan,Qianjiang,China,M
Joe Pierce,Aengceleng,Indonesia,M
Theresa Ramirez,Golovchino,Russia,F
Bruce Schmidt,Ponta Delgada,Portugal,M
Andrew Weaver,Chemnitz,Germany,M
Steven Banks,Chongxian,China,M
Heather Spencer,Jiangwakou,China,F
Margaret Fisher,Chalandrítsa,Greece,F
Julia Hansen,Purworejo,Indonesia,F
Nancy Berry,Aldeia da Bela Vista,Portugal,F
Robert White,Minyat an Naşr,Egypt,M
Willie Walker,Bulgan,Mongolia,M
Amy Peterson,Chumikan,Russia,F
Gary Miller,Iporá,Brazil,M
Christine Arnold,San Isidro,Philippines,F
Martha Bishop,Elías,Colombia,F
Wanda Jordan,Szczerców,Poland,F
Louise Bryant,Fagersta,Sweden,F
Alice Garcia,Victoria,Philippines,F
Rebecca Hernandez,Norashen,Armenia,F
Willie Knight,Västra Frölunda,Sweden,M
Bobby Hudson,Buerarema,Brazil,M
Irene Burns,Sudzha,Russia,F
Andrew Gibson,Köln,Germany,M
Donald Simmons,Patani,Nigeria,M
Todd Dean,Mao,Dominican Republic,M
Beverly Reyes,Gabao,Philippines,F
Betty Mendoza,Jargalant,Mongolia,F
Doris Torres,Miaoxi,China,F
Kathryn Arnold,Granard,Ireland,F
Brandon Nelson,Benešov nad Ploučnicí,Czech Republic,M
Shawn Sullivan,Penelas,Portugal,M
Emily Perkins,Bayasgalant,Mongolia,F
Kathryn Lawson,Baoping,China,F
Juan Taylor,Chubek,Tajikistan,M
Rose Warren,Skellefteå,Sweden,F
Annie Ford,Citalahab,Indonesia,F
Lois Weaver,Ursynów,Poland,F
Jeffrey Stewart,Shoushan,China,M
Johnny Cox,Baisha,China,M
Jeffrey Jenkins,Suntar,Russia,M
Rebecca Carr,Niederwaldkirchen,Austria,F
Michael Moreno,Tabuating,Philippines,M
Linda Smith,Shuicha,China,F
Jean Boyd,Kertabumi,Indonesia,F
Cheryl Romero,Fayzabad,Afghanistan,F
Martin Reed,Hubynykha,Ukraine,M
Wayne Coleman,Wangcungang,China,M
Billy Mason,Gununganyar,Indonesia,M
Beverly Thomas,Virginia Beach,United States,F
Linda Mccoy,Hongqi,China,F
Bobby Harris,Gununganyartambak Tengah,Indonesia,M
Marilyn Watson,Coaraci,Brazil,F
Mark Fisher,Erhaodi,China,M
William Hunter,Kitsuki,Japan,M
Donald Hayes,Shali,Russia,M
Christine Wheeler,Kafr Dān,Palestinian Territory,F
Frances Moreno,Cikajang,Indonesia,F
Lois Powell,Xiaoyue,China,F
Jack Dunn,Gò Quao,Vietnam,M
Rebecca Foster,Mariposa,Peru,F
Chris Davis,Vizal San Pablo,Philippines,M
Willie Hunter,Patarrá,Costa Rica,M
Harry Arnold,Sulūq,Libya,M
Sean Payne,Taozixi,China,M
Anthony Oliver,Caleta Cruz,Peru,M
Phyllis Mills,Montinho,Portugal,F
Mark Kelly,Kuanghe,China,M
Thomas Willis,Taiping,China,M
Amanda Murray,Lidzbark,Poland,F
Billy Richards,Mengla,China,M
Benjamin Wagner,Saverne,France,M
Ryan Payne,Orléans,France,M
Helen Larson,Tivat,Montenegro,F
Susan Young,Chengzihe,China,F
Judith Sims,Lianzhou,China,F
Heather Oliver,Kihurio,Tanzania,F
Mildred Mason,Chōfugaoka,Japan,F
Diane Sullivan,Blangkejeren,Indonesia,F
Katherine Hawkins,Quesada,Guatemala,F
Lori Simpson,Falefa,Samoa,F
Susan West,Phalaborwa,South Africa,F
Cynthia Ray,Gesikan,Indonesia,F
Jean Chavez,Wewit,Indonesia,F
Deborah Perez,Łapsze Niżne,Poland,F
Marilyn Larson,Qunsheng,China,F
Lisa Bell,Iwŏn-ŭp,North Korea,F
Bobby Lynch,Nikolayevsk,Russia,M
Gerald Torres,Doudleby nad Orlicí,Czech Republic,M
Eugene Morris,Vilarelho,Portugal,M
Joseph Arnold,Khorinsk,Russia,M
Jerry King,Wangdian,China,M
Christine Torres,Zili,China,F
Patricia Rodriguez,Ozamiz City,Philippines,F
Michelle Gray,Guyam Malaki,Philippines,F
Stephanie Henry,Vorob’yovo,Russia,F
Jose Wilson,Qingyuan,China,M
Jerry Mitchell,Reszel,Poland,M
Brian Butler,Zheleznogorsk,Russia,M
Maria Garza,Vespasiano,Brazil,F
Kenneth Hunt,Shuvakish,Russia,M
Joan Willis,Arteche,Philippines,F
Nicholas Day,Vychegodskiy,Russia,M
Barbara Fowler,Buzhakan,Armenia,F
Jerry King,Hongshi,China,M
Marilyn Reed,Farah,Afghanistan,F
Annie Hunter,Ladan,Indonesia,F
Fred Stanley,Cambrai,France,M
Norma Martin,Köln,Germany,F
Tammy Torres,Si’erbao,China,F
Steve Jenkins,Tyoply Stan,Russia,M
Ernest Gardner,Zhaigang,China,M
Julie Edwards,Roanoke,United States,F
Susan Harrison,Luowan,China,F
Louis Cooper,Kondinskoye,Russia,M
Scott Collins,Ocaña,Colombia,M
Clarence Simmons,Phoenix,United States,M
Emily Moreno,Marcq-en-Barœul,France,F
Lisa Coleman,Isaka,Tanzania,F
Norma Bell,Łęki Szlacheckie,Poland,F
Johnny Snyder,Kajar,Indonesia,M
Carol Medina,Zaraza,Venezuela,F
Irene Peters,Nikísiani,Greece,F
Beverly Hicks,Idenao,Cameroon,F
Norma Frazier,São Bento do Sul,Brazil,F
Gloria Little,Obama,Japan,F
Sarah Hanson,Sioguí Abajo,Panama,F
Eric Gonzalez,Skara,Sweden,M
Jonathan Hernandez,Pesek,Indonesia,M
Mary Lewis,Suva Reka,Kosovo,F
Douglas Richards,Ganzhou,China,M
Catherine Gutierrez,Krapivna,Russia,F
Emily Hanson,Zolochiv,Ukraine,F
Joshua Bradley,Sacramento,United States,M
Frank Johnson,Kitango,Philippines,M
Juan Lane,Baisha,China,M
Adam Bennett,Karpushikha,Russia,M
Ann Wheeler,Xinmen,China,F
Rose Ray,Hadakewa,Indonesia,F
Maria Brooks,Nikkō,Japan,F
Jacqueline Simpson,Huangfang,China,F
Nancy Long,Manzil Bū Zalafah,Tunisia,F
Theresa Watkins,Smedjebacken,Sweden,F
Ryan Reyes,Espinosa,Brazil,M
Sarah Hicks,Huibu,China,F
Antonio Black,Nesebar,Bulgaria,M
Gregory Moreno,Benito Juarez,Mexico,M
Brenda Sanchez,Punta Cana,Dominican Republic,F
Jean Cox,Koszęcin,Poland,F
Wayne Medina,Medvezh’yegorsk,Russia,M
Angela Pierce,Changping,China,F
Louise Butler,Noling,Philippines,F
Irene Mccoy,Kafr ad Dīk,Palestinian Territory,F
Deborah Kelley,Eg,Mongolia,F
Kelly Ross,Ostrožská Lhota,Czech Republic,F
Rachel Boyd,Samsan,South Korea,F
Irene Burns,Qukuhu,China,F
Anne Rice,Rūjayb,Palestinian Territory,F
Karen Armstrong,Shebekino,Russia,F
Nancy Willis,Casa Nova,Portugal,F
Kelly Watson,Xiangcheng,China,F
Annie Alvarez,Shanglaxiu,China,F
Juan Fowler,Randuagung,Indonesia,M
Alice Morales,Pescara,Italy,F
Sandra Palmer,Kaeng Khro,Thailand,F
Richard Larson,Stalowa Wola,Poland,M
Amy Hanson,Caluya,Philippines,F
Willie Weaver,Morioka-shi,Japan,M
Aaron Scott,Marihatag,Philippines,M
Denise Green,Chenfang,China,F
Jose Spencer,Myitkyina,Myanmar,M
Raymond Jordan,Caiyuan,China,M
Amanda Ray,Putat Lor,Indonesia,F
Alan Stanley,Jalālpur,Pakistan,M
Chris Murray,Zhongwei,China,M
Patrick Hunter,Rakvere,Estonia,M
Angela Nguyen,Além Paraíba,Brazil,F
Louis Kennedy,Vidče,Czech Republic,M
Donna Wallace,Jiebu,China,F
Adam West,Cilongkrang,Indonesia,M
Julie Roberts,Leigongmiao,China,F
Peter Gordon,Hwawŏn,South Korea,M
Alice Flores,Huaribamba,Peru,F
Judy Morales,Chenzhouzhai,China,F
Mark Reid,Gasi,China,M
Scott Ortiz,Pocsi,Peru,M
Sarah Turner,Górki Wielkie,Poland,F
Julia Fisher,Sonsón,Colombia,F
Diane Ryan,Áthyra,Greece,F
Sara Anderson,Caqu,China,F
Susan Ryan,Zeya,Russia,F
Nicole Fernandez,Naifaru,Maldives,F
Sara Gordon,Luftinjë,Albania,F
Carlos Miller,Carice,Haiti,M
Jimmy Robertson,Pursat,Cambodia,M
Louis Burke,Kuala Terengganu,Malaysia,M
Peter Shaw,Trujillo,Honduras,M
Stephanie Alvarez,Téra,Niger,F
Ryan Washington,Carahue,Chile,M
Bonnie Knight,Manacsac,Philippines,F
Doris Garrett,Bayan Uula Sumu,Mongolia,F
Alan Hamilton,Primošten,Croatia,M
Michael Edwards,Yengimahalla,China,M
Robert Gutierrez,Dhaka,Bangladesh,M
Robert Ferguson,Calapan,Philippines,M
Kelly Harrison,Louisville,United States,F
Larry Lawson,Ospina,Colombia,M
Albert Lawrence,Basīrpur,Pakistan,M
Kathryn Banks,Tamaki,New Zealand,F
Carl Hill,Mirpur Khas,Pakistan,M
Ruth Campbell,Gorang,Indonesia,F
Sharon Kennedy,Józefów,Poland,F
Roger Fuller,Panoongan,Indonesia,M
Sharon Andrews,Mangli,Indonesia,F
Keith Rodriguez,Rolante,Brazil,M
Marilyn Perez,Obock,Djibouti,F
Jesse Jordan,Chengtang,China,M
Mary Reid,Nangang,China,F
Louis Ross,Songnan,China,M
Gregory Johnson,Reinaldes,Portugal,M
Keith Olson,Limeil-Brévannes,France,M
Lawrence Carpenter,Pacaraos,Peru,M
Diane Black,Bai’e,China,F
Jimmy Mendoza,Ejidal,Mexico,M
Nancy Holmes,Tabonok,Philippines,F
Phyllis Chavez,Consuelo,Philippines,F
Antonio Harris,Calatrava,Philippines,M
Craig Hansen,Saddina,Morocco,M
George Ross,Vesele,Ukraine,M
Jane Perez,Purorejo,Indonesia,F
Janice Long,Binglincha,China,F
Matthew Hernandez,Shuangpengxi,China,M
Angela Oliver,Río Grande,Dominican Republic,F
Alice Berry,Pinayagan Norte,Philippines,F
Betty Barnes,Ozurgeti,Georgia,F
Brenda Jackson,Guacamaya,Honduras,F
Ruby Elliott,Fengtang,China,F
George Hall,Bombarral,Portugal,M
Deborah Frazier,Gangtun,China,F
Justin Green,Murmuiža,Latvia,M
Julie Gutierrez,Ehen Hudag,China,F
Shawn Wheeler,Cikoneng,Indonesia,M
Ronald Burke,Salta,Argentina,M
Shawn Jones,Podgortsy,Ukraine,M
Louise Cunningham,Pidigan,Philippines,F
Diane Stewart,Kryry,Czech Republic,F
Irene Patterson,Buriram,Thailand,F
Louise Hayes,Baran,Indonesia,F
Marilyn Foster,Hulei,China,F
Tina Barnes,Louredo,Portugal,F
Alice Burke,Kotel’niki,Russia,F
Mary Coleman,Juegang,China,F
Doris Bishop,Stockholm,Sweden,F
Robin Fisher,Ōtawara,Japan,F
Cynthia Hill,Pitanga,Brazil,F
Wanda Gonzalez,Jambu,Indonesia,F
Shawn Elliott,Mora,Sweden,M
Earl Gardner,Druju,Indonesia,M
Judy George,Storozhnytsya,Ukraine,F
Richard Kim,Yuanqian,China,M
Patricia Harris,Mananum,Philippines,F
Jack Scott,Maslog,Philippines,M
Timothy Fisher,Wutongkou,China,M
Sarah Cole,Sydney,Australia,F
Bruce Fox,Rucava,Latvia,M
Ronald Bell,Dolany,Czech Republic,M
Ashley Butler,Bi’r al Ḩufayy,Tunisia,F
Joe Myers,Horní Jiřetín,Czech Republic,M
Albert Powell,Piura,Peru,M
Jessica Diaz,El Limon,Mexico,F
Philip Porter,Kabarnet,Kenya,M
Gerald Olson,Phlapphla Chai,Thailand,M
Mary Reynolds,Rubirizi,Uganda,F
Lois Gibson,Canalete,Colombia,F
Henry Cole,Gongchenqiao,China,M
Jessica Day,Abreu e Lima,Brazil,F
Clarence Hayes,Västra Frölunda,Sweden,M
Ann Ryan,Dongchong,China,F
Carl Ellis,Zmijavci,Croatia,M
Rose Jackson,Knyaginino,Russia,F
Robin Sanchez,‘Arīshah,Syria,F
Marilyn Robertson,Rājo Khanāni,Pakistan,F
Robin Thomas,Andrijaševci,Croatia,F
Sharon Vasquez,Carbonear,Canada,F
Doris Bradley,Karlovy Vary,Czech Republic,F
Shirley Torres,Xinfeng,China,F
Steven Ford,Vorob’yovo,Russia,M
Teresa Smith,Bihać,Bosnia and Herzegovina,F
Rebecca Riley,Tongtuan,China,F
Tina Henderson,Taozixi,China,F
Stephanie Perkins,Richmond,United States,F
Rose Fox,Volodymyr-Volyns’kyy,Ukraine,F
Amy Sanders,Xinning,China,F
Marilyn Price,Longshi,China,F
Jerry Franklin,Puerto Colombia,Colombia,M
Ronald Sullivan,Yayao,China,M
Keith Long,Zaandam,Netherlands,M
Heather Brooks,Stráž nad Nisou,Czech Republic,F
Ernest Tucker,Yanshan,China,M
Jason Scott,Bihać,Bosnia and Herzegovina,M
Susan Cox,Lueng Putu,Indonesia,F
Steven Gardner,Rukem,Indonesia,M
Juan Reyes,Na'ale,Israel,M
Kevin Morales,Beiqiao,China,M
Kevin Burke,Siak Sri Indrapura,Indonesia,M
Ernest Kelley,Maddela,Philippines,M
Louis Williamson,Kankan,Guinea,M
Tammy Stanley,Shchuchin,Belarus,F
Barbara Dean,Ibagué,Colombia,F
Margaret Nichols,Furmanov,Russia,F
Jennifer Martin,Dístomo,Greece,F
Denise Thomas,Pecka,Czech Republic,F
Robert Warren,Sande São Lourenço,Portugal,M
Paul Mills,Bajos de Haina,Dominican Republic,M
Diana Kelley,Huidong,China,F
Kevin Knight,Dobra,Poland,M
Jimmy Gutierrez,Piet Retief,South Africa,M
James Parker,Fort Worth,United States,M
Walter Moreno,Kinamayan,Philippines,M
Pamela Fields,Jendouba,Tunisia,F
Lori Williams,Emiliano Zapata,Mexico,F
Diana Cole,Kavarna,Bulgaria,F
Randy Edwards,Lipno,Poland,M
Karen Henderson,Qaffīn,Palestinian Territory,F
Jeremy Holmes,Vicuña,Chile,M
Shirley Reyes,Weitang,China,F
Judith Garcia,Silgueiros,Portugal,F
Rebecca Ruiz,Acevedo,Colombia,F
Pamela Powell,Żabno,Poland,F
Scott Patterson,Biała Piska,Poland,M
Pamela Kim,Natividade,Brazil,F
Jose Reed,Tsuma,Japan,M
Benjamin Gibson,Katumba,Tanzania,M
Marie Bryant,Ranot,Thailand,F
Anne Brown,Krzeszów,Poland,F
Eric Morgan,Inkerman,Ukraine,M
Clarence Thomas,Andaray,Peru,M
